x,y,timestamp,pressure,fingerarea,velocityx,velocityy,accelx,accely,accelz,gyrox,gyroy,gyroz
177.91994,320.62598,127009154,0.675,0.053191487,0.0,0.0,0.009836689,-0.023471162,0.00669384,0.0,0.0,0.0
177.91994,320.62598,127009178,0.7875,0.08510638,-7.036741E-4,-0.0021599298,0.009836689,-0.023471162,0.00669384,0.0,0.0,0.0
177.91994,320.62598,127009195,0.875,0.08510638,-0.0077727744,-0.0137698725,0.009836689,-0.023471162,0.00669384,0.0,0.0,0.0
177.91994,320.62598,127009211,0.9125,0.08510638,6.278172E-4,7.8991265E-4,0.009836689,-0.023471162,0.00669384,0.0,0.0,0.0
177.91994,320.62598,127009228,0.9375,0.08510638,-0.0068986276,-0.013736426,0.009836689,-0.023471162,0.00669384,0.0,0.0,0.0
177.91994,320.62598,127009245,0.8875,0.08510638,0.0017198428,0.003378864,0.009836689,-0.023471162,0.00669384,0.0,0.0,0.0
175.12318,349.54578,127009262,0.925,0.10638297,-82.40294,816.5982,0.009836689,-0.023471162,0.00669384,0.0,0.0,0.0
172.60129,376.0067,127009278,0.9375,0.08510638,-181.6166,1849.0194,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
171.54207,398.70667,127009295,0.925,0.12765957,-188.20442,2282.8477,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
171.34387,424.27332,127009312,0.9125,0.08510638,-107.45853,2116.0056,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
170.96196,444.31006,127009328,0.925,0.10638297,13.698649,1507.5948,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
170.41765,463.71716,127009345,0.8875,0.08510638,42.92006,1072.2529,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
171.46364,484.03503,127009362,0.875,0.08510638,42.42137,1081.4791,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
170.92223,497.57288,127009379,0.8875,0.10638297,15.377665,900.25385,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
170.92223,508.07166,127009395,0.83750004,0.10638297,2.7296138,654.0476,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
170.92223,514.88806,127009412,0.71250004,0.09574468,3.9496636,390.90866,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
170.92223,516.0968,127009417,0.4,0.10638297,0.8722673,265.0922,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
170.92223,516.0968,127009425,0.4,0.10638297,0.8722673,265.0922,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
191.91537,342.83862,127009578,0.8,0.12765957,0.0,0.0,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
191.91537,342.83862,127009596,0.83750004,0.08510638,-0.16013399,-0.27771142,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
194.6669,325.7157,127009612,0.8875,0.08510638,269.17224,-1657.9299,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
196.25851,311.68115,127009629,0.8875,0.10638297,188.31845,-1454.0206,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
198.6283,302.21558,127009646,0.8875,0.12765957,177.59694,-1018.38605,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
199.66812,297.95984,127009663,0.925,0.12765957,127.15433,-584.9416,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
200.70773,296.11182,127009679,0.90000004,0.12765957,46.133743,81.5932,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
201.5841,294.85938,127009696,0.9375,0.12765957,15.9151125,278.1137,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
203.51352,297.70605,127009713,0.875,0.11702127,47.04869,252.22028,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
211.33704,320.91968,127009729,0.925,0.09574468,259.0461,797.7011,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
219.4183,342.57068,127009746,0.8875,0.12765957,507.10425,1538.3823,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
229.36887,362.31116,127009763,0.925,0.08510638,722.5199,1936.2968,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
236.59839,375.1056,127009780,0.90000004,0.08510638,696.42444,1515.26,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
244.52881,384.41003,127009796,0.8875,0.11702127,555.3771,770.04407,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
254.65945,389.245,127009813,0.90000004,0.11702127,515.22614,164.34627,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
265.55655,387.96484,127009830,0.83750004,0.08510638,588.26337,-166.19539,0.02386935,0.021223068,0.021354675,0.0,0.0,0.0
277.7751,375.50415,127009846,0.8875,0.08510638,714.26587,-640.9374,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
293.72162,348.51343,127009863,0.875,0.10638297,895.2007,-1438.7512,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
306.01138,316.59888,127009880,0.90000004,0.09574468,981.4289,-2403.7173,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
309.692,299.8269,127009897,0.85,0.12765957,652.1222,-2296.9084,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
309.87698,292.08716,127009913,0.925,0.11702127,83.54482,-1281.6696,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
309.87698,288.8274,127009930,0.9375,0.11702127,-339.38922,-90.42184,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
309.87698,286.9856,127009947,0.925,0.11702127,-377.3074,526.45905,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
309.87698,286.8629,127009963,0.9125,0.12765957,-137.39227,394.54956,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
309.87698,296.71863,127009980,0.90000004,0.11702127,-26.803308,481.3683,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
306.66537,324.89758,127009997,0.925,0.08510638,-85.87771,1235.4446,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
303.5972,348.72974,127010014,0.95,0.10638297,-197.39053,1921.3176,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
299.9782,377.98413,127010030,0.9125,0.08510638,-282.55704,2299.8062,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
298.47092,402.13452,127010047,0.90000004,0.12765957,-239.52931,2102.7112,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
295.7625,430.96997,127010064,0.8875,0.08510638,-169.6261,1813.0841,0.0030954778,-0.023021534,0.017083168,0.0,0.0,0.0
