x,y,timestamp,pressure,fingerarea,velocityx,velocityy,accelx,accely,accelz,gyrox,gyroy,gyroz
569.29254,132.2633,77252826,0.7875,0.10638297,0.0,0.0,0.011918493,0.016780928,0.06310177,0.0,0.0,0.0
569.29254,132.2633,77252852,0.825,0.10638297,-0.014474668,-0.004958881,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
569.29254,132.2633,77252885,0.85,0.09574468,-0.024538657,-0.0052803564,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
569.29254,132.2633,77252902,0.8625,0.08510638,-0.014463762,-0.0032932195,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
563.9283,154.65015,77252919,0.85,0.08510638,-169.99971,695.31067,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
563.6274,175.79077,77252935,0.825,0.10638297,-230.84167,1455.1617,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
563.9355,206.57092,77252952,0.825,0.08510638,-55.440876,2209.4985,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
562.3763,235.96716,77252969,0.83750004,0.10638297,-26.998867,2447.6648,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
560.4266,260.89734,77252986,0.85,0.08510638,1.4806517,2102.4846,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
558.3,279.69287,77253002,0.8625,0.09574468,-101.20514,1511.6152,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
557.2647,298.03235,77253019,0.875,0.08510638,-156.46664,1024.3813,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
556.7966,322.5957,77253036,0.8875,0.08510638,-73.66289,960.68256,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
555.67786,346.6902,77253052,0.8625,0.10638297,-24.471573,1253.47,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
554.4376,377.0243,77253069,0.8875,0.08510638,-18.642775,1633.6226,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
553.1039,396.9287,77253086,0.8875,0.10638297,-67.668495,1711.9067,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
551.3241,415.04602,77253102,0.90000004,0.08510638,-111.403366,1352.4956,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
548.7793,430.94202,77253119,0.9125,0.08510638,-148.21529,936.3755,0.0575348,-0.026575267,0.050480843,0.0,0.0,0.0
